T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
724,Spain,2022,Domestic general government health expenditure (% of total government expenditure),15.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2005,Current health expenditure (% of GDP),3.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2010,Current health expenditure (% of GDP),3.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2015,Current health expenditure (% of GDP),3.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2020,Current health expenditure (% of GDP),4.1,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2021,Current health expenditure (% of GDP),4.0,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2022,Current health expenditure (% of GDP),4.4,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2005,Domestic general government health expenditure (% of total government expenditure),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2010,Domestic general government health expenditure (% of total government expenditure),7.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2015,Domestic general government health expenditure (% of total government expenditure),8.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2020,Domestic general government health expenditure (% of total government expenditure),9.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2021,Domestic general government health expenditure (% of total government expenditure),9.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
144,Sri Lanka,2022,Domestic general government health expenditure (% of total government expenditure),9.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2005,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Including South Sudan.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2010,Current health expenditure (% of GDP),5.1,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Including South Sudan.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2015,Current health expenditure (% of GDP),5.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2020,Current health expenditure (% of GDP),3.0,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2021,Current health expenditure (% of GDP),2.8,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2022,Current health expenditure (% of GDP),4.6,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2005,Domestic general government health expenditure (% of total government expenditure),8.1,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Including South Sudan.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2010,Domestic general government health expenditure (% of total government expenditure),9.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Including South Sudan.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2015,Domestic general government health expenditure (% of total government expenditure),6.7,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2020,Domestic general government health expenditure (% of total government expenditure),9.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2021,Domestic general government health expenditure (% of total government expenditure),7.9,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
729,Sudan,2022,Domestic general government health expenditure (% of total government expenditure),6.7,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
740,Suriname,2005,Current health expenditure (% of GDP),5.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
740,Suriname,2010,Current health expenditure (% of GDP),4.7,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
740,Suriname,2015,Current health expenditure (% of GDP),5.8,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
740,Suriname,2020,Current health expenditure (% of GDP),6.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
740,Suriname,2021,Current health expenditure (% of GDP),5.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
740,Suriname,2022,Current health expenditure (% of GDP),5.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
